plant,oc_ext_12m,lineas_12m,proveedores_12m,ult_oc_ext,oc_ext_24m,traslados_12m,ventana_desde,ventana_hasta,extraido
M119,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M120,62,500,3,2026-09-18,144,62,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M121,351,3850,14,2026-09-24,791,2092,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M122,128,672,9,2026-09-21,279,700,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M123,111,607,7,2026-09-21,254,418,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M124,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M125,82,713,5,2026-09-18,186,34,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M201,294,2589,15,2026-09-24,634,1045,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M202,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M203,360,3499,15,2026-09-24,814,1354,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M204,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M205,5,185,3,2026-04-21,15,327,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M206,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M207,156,1082,8,2026-09-21,360,390,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M208,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M209,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M210,7,123,4,2026-04-21,55,357,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M211,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M212,157,1183,10,2026-09-23,307,644,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M213,158,812,9,2026-09-21,320,562,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M214,268,1916,16,2026-09-24,543,681,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M215,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M216,157,1285,9,2026-09-21,329,754,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M217,5,24,3,2026-07-30,8,284,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M218,94,414,6,2026-09-21,226,76,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M219,259,2405,12,2026-09-24,580,890,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M220,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M221,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M222,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M223,0,0,0,,0,1,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M301,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M302,0,0,0,,0,154,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M303,2,15,2,2026-04-21,3,235,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M304,30,238,4,2026-09-21,65,691,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M305,42,417,4,2026-09-21,83,1187,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M306,269,2495,12,2026-09-21,745,895,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M307,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M308,41,326,5,2026-09-21,81,486,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M309,5,66,3,2026-06-16,8,70,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M310,135,1413,12,2026-09-21,241,2741,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M311,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M312,4,27,3,2026-04-21,13,212,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M313,3,16,3,2026-04-21,9,4,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M314,4,14,3,2026-06-04,12,293,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M315,342,3606,12,2026-09-24,736,902,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M316,0,0,0,,1,149,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M317,450,4526,20,2026-09-24,742,3068,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M318,0,0,0,,1,22,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M319,11,116,1,2026-07-27,52,6,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M320,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M401,223,2344,10,2026-09-23,457,758,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M402,2,8,2,2026-09-23,9,287,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M403,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M404,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M405,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M406,166,2155,11,2026-09-21,335,817,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M407,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M408,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M409,97,799,5,2026-09-21,217,129,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M410,0,0,0,,1,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M411,1,2,1,2026-08-07,2,12,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M412,1,51,1,2026-04-20,1,29,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M413,17,184,5,2026-09-14,31,13,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M414,154,1474,11,2026-09-23,316,451,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M415,133,1193,10,2026-09-23,273,177,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M416,131,1261,10,2026-09-11,262,391,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M417,135,1042,10,2026-09-17,237,322,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M418,65,586,9,2026-09-17,133,117,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M419,51,561,9,2026-09-14,118,202,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M420,2,55,2,2026-08-05,4,26,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M421,152,1532,9,2026-09-23,299,158,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M422,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M423,413,4065,18,2026-09-22,890,1772,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M424,71,881,9,2026-09-14,163,135,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M425,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
